name,address,detail_url,currency,display_price,tax_note,score_word,score_numeric,review_count,stars,distance_blurb,breakfast_included,free_cancellation,pay_at_property,sustainability_badge,raw_tags,raw_price_text
Hostal New Dream Madrid,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/new-dream-madrid.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1097424501_410336482_2_2_0&highlighted_blocks=1097424501_410336482_2_2_0&matching_block_id=1097424501_410336482_2_2_0&sr_pri_blocks=1097424501_410336482_2_2_0__125334&from=searchresults,$,209.0,,,7.8,4028,,0.7 miles from downtown,False,False,False,False,,$209
Windsor Puerta del Sol,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/el-pasaje.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=9722301_232468732_0_2_0&highlighted_blocks=9722301_232468732_0_2_0&matching_block_id=9722301_232468732_0_2_0&sr_pri_blocks=9722301_232468732_0_2_0__97377&from=searchresults,$,162.0,,,7.9,577,,0.1 miles from downtown,False,False,False,False,,$162
Hostal Evoke Madrid,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-bermejo.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=28133110_363464413_2_0_0_654603&highlighted_blocks=28133110_363464413_2_0_0_654603&matching_block_id=28133110_363464413_2_0_0_654603&sr_pri_blocks=28133110_363464413_2_0_0_654603_125836&from=searchresults,$,210.0,,,9.0,3434,,0.3 miles from downtown,False,False,False,False,,$210
Hostal Barrera,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-barrera.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=128172502_404823132_2_0_0_461220&highlighted_blocks=128172502_404823132_2_0_0_461220&matching_block_id=128172502_404823132_2_0_0_461220&sr_pri_blocks=128172502_404823132_2_0_0_461220_113182&from=searchresults,$,189.0,,,8.9,1841,,0.6 miles from downtown,False,False,False,False,,$189
JC Rooms Santo Domingo,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/jc-rooms-santo-domingo.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=50695701_88209982_0_2_0&highlighted_blocks=50695701_88209982_0_2_0&matching_block_id=50695701_88209982_0_2_0&sr_pri_blocks=50695701_88209982_0_2_0__116545&from=searchresults,$,194.0,,,8.0,4574,,0.4 miles from downtown,False,False,False,False,,$194
JC Rooms Chueca,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/jc-rooms-chueca.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=246992402_102696597_0_42_0&highlighted_blocks=246992402_102696597_0_42_0&matching_block_id=246992402_102696597_0_42_0&sr_pri_blocks=246992402_102696597_0_42_0__114182&from=searchresults,$,190.0,,,8.3,3164,,0.3 miles from downtown,False,False,False,False,,$190
Home Art Apartments Bernabéu,"Tetuan, Madrid",https://www.booking.com/hotel/es/home-art-apartments-bernabeu.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1315709909_404338011_2_0_0&highlighted_blocks=1315709909_404338011_2_0_0&matching_block_id=1315709909_404338011_2_0_0&sr_pri_blocks=1315709909_404338011_2_0_0__108873&from=searchresults,$,171.0,,,9.4,485,,2.7 miles from downtown,False,False,False,False,,$171
Compostela Suites,"San Blas, Madrid",https://www.booking.com/hotel/es/compostela-suites.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=2991124_95154428_0_10_0&highlighted_blocks=2991124_95154428_0_10_0&matching_block_id=2991124_95154428_0_10_0&sr_pri_blocks=2991124_95154428_0_10_0__57520&from=searchresults,$,96.0,,,7.9,5065,,6.8 miles from downtown,False,False,False,False,,$96
Hostal Ballesta,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-madrid-centro.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1240624_95135834_2_0_0&highlighted_blocks=1240624_95135834_2_0_0&matching_block_id=1240624_95135834_2_0_0&sr_pri_blocks=1240624_95135834_2_0_0__95138&from=searchresults,$,159.0,,,8.4,2269,,0.3 miles from downtown,False,False,False,False,,$159
Hostal Paquita,"Fuencarral-El Pardo, Madrid",https://www.booking.com/hotel/es/hostal-paquita.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=37119905_339014356_2_0_0&highlighted_blocks=37119905_339014356_2_0_0&matching_block_id=37119905_339014356_2_0_0&sr_pri_blocks=37119905_339014356_2_0_0__56977&from=searchresults,$,95.0,,,7.8,1052,,4.6 miles from downtown,False,False,False,False,,$95
Apartamentos El Tiempo,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/apartamentos-el-tiempo-madrid.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=70419412_88210508_2_1_0&highlighted_blocks=70419412_88210508_2_1_0&matching_block_id=70419412_88210508_2_1_0&sr_pri_blocks=70419412_88210508_2_1_0__120909&from=searchresults,$,202.0,,,7.9,662,,450 feet from downtown,False,False,False,False,,$202
Hostal Madrid Atocha,"Arganzuela, Madrid",https://www.booking.com/hotel/es/hs-hotel-madrid-centro-atocha.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=896633201_360272763_2_0_0&highlighted_blocks=896633201_360272763_2_0_0&matching_block_id=896633201_360272763_2_0_0&sr_pri_blocks=896633201_360272763_2_0_0__77457&from=searchresults,$,129.0,,,7.9,7209,,1.8 miles from downtown,False,False,False,False,,$129
Simone Apartments,"Usera, Madrid",https://www.booking.com/hotel/es/simone-apartments.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1009412004_373647695_2_0_0&highlighted_blocks=1009412004_373647695_2_0_0&matching_block_id=1009412004_373647695_2_0_0&sr_pri_blocks=1009412004_373647695_2_0_0__75498&from=searchresults,$,118.0,,,8.4,244,,3.3 miles from downtown,False,False,False,False,,$118
Hotel Acta Madfor,"Moncloa-Aravaca, Madrid",https://www.booking.com/hotel/es/acta-madfor.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=44209335_88209534_0_2_0&highlighted_blocks=44209335_88209534_0_2_0&matching_block_id=44209335_88209534_0_2_0&sr_pri_blocks=44209335_88209534_0_2_0__120273&from=searchresults,$,200.0,,,8.5,2958,,1 miles from downtown,False,False,False,False,,$200
Hostal Escala Suites,"Hortaleza, Madrid",https://www.booking.com/hotel/es/casa-nordia.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=143738515_409887859_2_2_0&highlighted_blocks=143738515_409887859_2_2_0&matching_block_id=143738515_409887859_2_2_0&sr_pri_blocks=143738515_409887859_2_2_0__118650&from=searchresults,$,198.0,,,8.4,5118,,5.4 miles from downtown,False,False,False,False,,$198
